ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,US Zip Codes from 2013 Government Data.LAT,US Zip Codes from 2013 Government Data.LNG
2531,56,30,31,90024,4,1.5,3,0,0,0,0,1,0,34.065723,-118.434969
2570,35,10,139,90024,1,4.6,1,0,0,0,0,0,0,34.065723,-118.434969
2771,36,6,69,90024,4,4,3,0,0,0,0,1,0,34.065723,-118.434969
2884,40,14,92,90024,4,1.4,2,0,0,0,0,1,0,34.065723,-118.434969
2925,51,26,98,90024,1,1.3,3,0,0,0,0,1,1,34.065723,-118.434969
2948,45,21,151,90024,2,3.3,1,328,0,0,0,0,0,34.065723,-118.434969
3035,46,21,38,90024,1,2.4,1,130,0,0,0,1,0,34.065723,-118.434969
3101,52,27,81,90024,4,3.8,2,0,0,0,0,0,1,34.065723,-118.434969
3115,29,4,55,90024,4,2,2,0,0,1,0,1,0,34.065723,-118.434969
3263,44,19,85,90024,2,3.8,3,0,0,0,0,1,0,34.065723,-118.434969
3367,33,9,152,90024,1,6,1,0,0,0,0,1,1,34.065723,-118.434969
3418,39,12,23,90024,3,1,2,0,0,0,0,1,1,34.065723,-118.434969
3515,35,9,41,90024,4,1.2,2,0,0,0,0,1,0,34.065723,-118.434969
3881,48,24,25,90024,4,0.5,2,0,0,0,0,0,0,34.065723,-118.434969
3919,60,34,65,90024,4,1.7,2,0,0,1,0,1,0,34.065723,-118.434969
3920,64,34,179,90024,2,4.5,3,400,1,0,0,0,0,34.065723,-118.434969
4143,57,32,70,90024,3,1.6,3,0,0,0,0,0,0,34.065723,-118.434969
4182,47,22,22,90024,1,0.4,3,0,0,0,0,1,0,34.065723,-118.434969
4316,51,26,62,90024,4,1.8,3,119,0,0,0,1,0,34.065723,-118.434969
4341,34,10,92,90024,2,2.7,1,0,0,1,1,0,1,34.065723,-118.434969
4348,58,33,22,90024,3,0.2,1,0,0,0,0,1,0,34.065723,-118.434969
4361,67,43,41,90024,2,1.1,1,0,0,0,0,0,0,34.065723,-118.434969
4372,64,39,13,90024,4,0.6,2,0,0,0,0,1,0,34.065723,-118.434969
4528,41,16,18,90024,1,0.6,3,0,0,0,0,0,1,34.065723,-118.434969
4600,49,25,149,90024,2,0.4,1,0,0,0,0,1,0,34.065723,-118.434969
4692,41,17,65,90024,3,2.1,3,0,0,0,0,1,0,34.065723,-118.434969
4892,56,31,61,90024,4,0.9,1,0,0,1,1,1,1,34.065723,-118.434969
4972,58,28,73,90024,1,1.4,3,0,0,1,0,0,0,34.065723,-118.434969
594,33,7,48,90025,4,2.2,2,0,0,0,0,1,0,34.045421,-118.445873
692,45,18,48,90025,3,2.5,2,113,0,0,0,1,1,34.045421,-118.445873
1305,51,26,145,90025,1,8.1,1,397,0,0,0,0,1,34.045421,-118.445873
1595,37,12,93,90025,1,2.8,1,0,0,1,0,1,0,34.045421,-118.445873
1688,63,39,83,90025,3,2,3,0,0,0,0,1,1,34.045421,-118.445873
1725,46,19,24,90025,3,0.67,2,0,0,0,0,1,0,34.045421,-118.445873
1811,60,34,35,90025,1,0.2,1,0,0,0,0,1,0,34.045421,-118.445873
2184,34,8,29,90025,2,2,3,0,0,0,0,1,1,34.045421,-118.445873
2255,46,22,53,90025,2,1.7,1,109,0,0,0,0,0,34.045421,-118.445873
2335,45,21,69,90025,4,1.9,1,0,0,0,0,0,0,34.045421,-118.445873
2478,40,14,179,90025,1,2.6,3,0,1,0,0,1,0,34.045421,-118.445873
3427,31,5,115,90025,2,1.5,3,189,0,0,0,1,0,34.045421,-118.445873
3596,38,14,104,90025,2,1.8,2,79,0,0,0,0,0,34.045421,-118.445873
3745,54,29,79,90025,3,1.6,3,0,0,0,0,0,0,34.045421,-118.445873
3862,65,40,29,90025,1,1.5,2,0,0,0,0,0,0,34.045421,-118.445873
4439,43,18,22,90025,2,0,3,0,0,0,0,0,0,34.045421,-118.445873
4546,61,35,35,90025,2,0.2,3,0,0,0,0,1,0,34.045421,-118.445873
4858,37,13,115,90025,1,0.8,2,0,0,0,0,1,1,34.045421,-118.445873
4866,50,24,133,90025,4,1.4,2,342,1,0,0,0,1,34.045421,-118.445873
528,33,8,65,90027,2,0.1,1,89,0,0,0,1,0,34.127194,-118.295647
2192,42,18,171,90027,2,8,1,0,0,0,0,1,0,34.127194,-118.295647
3151,47,22,124,90027,4,5,3,0,1,0,0,0,0,34.127194,-118.295647
475,60,34,114,90028,2,6.9,1,0,0,0,0,1,0,34.099912,-118.326912
1958,29,4,121,90028,2,3.3,1,0,0,0,0,1,0,34.099912,-118.326912
2443,39,15,41,90028,2,1.7,1,0,0,0,0,0,0,34.099912,-118.326912
3085,26,0,129,90028,3,0.7,2,0,1,0,0,0,0,34.099912,-118.326912
3167,29,4,80,90028,1,0.8,2,0,0,0,0,1,1,34.099912,-118.326912
3784,60,34,51,90028,3,1.4,3,0,0,0,0,0,0,34.099912,-118.326912
4222,48,22,83,90028,2,0.4,3,248,0,0,0,1,0,34.099912,-118.326912
4901,26,1,74,90028,4,2.2,1,0,0,0,0,1,0,34.099912,-118.326912
284,61,36,40,90029,3,0.5,2,0,0,1,0,1,0,34.089848,-118.294661
3014,45,21,183,90029,2,1.4,1,0,0,0,0,1,1,34.089848,-118.294661
3409,45,21,71,90029,4,1.9,1,0,0,0,0,1,0,34.089848,-118.294661
3413,55,29,79,90029,4,4.9,1,0,0,0,0,0,0,34.089848,-118.294661
3611,32,6,93,90029,3,1.6,1,79,0,0,0,1,0,34.089848,-118.294661
1250,51,27,80,90032,1,2.6,2,0,0,0,0,1,1,34.078195,-118.185501
2344,58,34,55,90032,1,0.8,1,168,0,0,0,1,1,34.078195,-118.185501
2683,53,27,81,90032,4,2.6,3,0,0,0,0,1,0,34.078195,-118.185501
2905,56,32,190,90032,3,2.2,1,0,1,0,1,1,0,34.078195,-118.185501
3711,49,22,23,90032,2,1,2,0,0,0,0,1,1,34.078195,-118.185501
4099,27,3,75,90032,4,0,1,0,0,0,0,0,0,34.078195,-118.185501
4376,34,10,51,90032,3,2,1,130,0,0,0,0,0,34.078195,-118.185501
4734,49,23,121,90032,1,4.9,1,0,0,0,0,1,0,34.078195,-118.185501
647,58,33,61,90033,4,1.7,1,0,0,0,0,0,0,34.050380,-118.211991
1814,61,36,55,90033,3,0.9,3,0,0,0,0,1,1,34.050380,-118.211991
1851,36,10,20,90033,4,0.3,1,97,0,0,0,1,0,34.050380,-118.211991
2384,63,39,52,90033,2,1.1,1,0,0,0,0,1,1,34.050380,-118.211991
2390,27,1,41,90033,1,1.9,3,0,0,0,0,0,1,34.050380,-118.211991
2835,40,16,12,90033,1,1,1,91,0,1,0,0,0,34.050380,-118.211991
3371,39,13,59,90033,3,0.9,3,199,0,1,0,1,0,34.050380,-118.211991
3957,62,37,45,90033,3,0.5,2,200,0,0,0,1,1,34.050380,-118.211991
4809,42,16,32,90033,3,0.5,2,0,0,0,0,0,1,34.050380,-118.211991
320,65,39,20,90034,3,0.7,2,0,0,0,0,0,1,34.030578,-118.399613
324,59,34,99,90034,1,4.4,1,0,1,0,0,0,0,34.030578,-118.399613
615,37,12,180,90034,1,8.6,1,0,0,0,0,1,1,34.030578,-118.399613
635,57,31,32,90034,3,1.4,1,0,0,1,1,1,1,34.030578,-118.399613
1147,31,7,71,90034,1,0.1,1,78,0,1,0,0,0,34.030578,-118.399613
1149,41,15,108,90034,1,5.2,1,0,0,0,0,0,0,34.030578,-118.399613
1360,64,40,171,90034,2,2.1,1,433,0,0,0,0,0,34.030578,-118.399613
2275,40,15,21,90034,2,0,3,0,0,0,0,1,0,34.030578,-118.399613
2451,32,7,28,90034,4,1.1,3,0,0,0,0,0,0,34.030578,-118.399613
2840,58,33,75,90034,2,0,3,0,0,0,0,1,0,34.030578,-118.399613
3628,27,1,83,90034,2,0.2,1,0,0,0,0,0,1,34.030578,-118.399613
3936,59,33,53,90034,3,2.5,1,0,0,0,0,1,0,34.030578,-118.399613
4292,46,21,34,90034,1,0.1,1,124,0,0,0,1,0,34.030578,-118.399613
4294,63,38,41,90034,2,1.5,1,173,0,0,0,1,1,34.030578,-118.399613
4312,32,8,14,90034,3,0.9,3,111,0,0,0,0,0,34.030578,-118.399613
4444,38,14,48,90034,1,1.8,1,169,0,0,0,0,0,34.030578,-118.399613
4627,58,34,58,90034,4,2.3,3,169,0,0,0,1,0,34.030578,-118.399613
4641,30,6,42,90034,1,2.1,3,0,0,0,0,1,0,34.030578,-118.399613
4702,42,16,49,90034,1,2.8,1,0,0,0,0,0,0,34.030578,-118.399613
4999,65,40,49,90034,3,0.5,2,0,0,0,0,1,0,34.030578,-118.399613
1069,34,9,105,90035,3,1.2,3,0,0,1,0,0,0,34.051809,-118.383674
2295,39,15,129,90035,2,1.9,1,0,0,0,0,0,0,34.051809,-118.383674
2700,37,11,22,90035,3,0.1,2,114,0,0,0,0,0,34.051809,-118.383674
2961,55,29,38,90035,4,1.5,3,0,0,0,0,0,1,34.051809,-118.383674
3318,65,41,79,90035,3,2,3,0,0,0,0,0,0,34.051809,-118.383674
4453,59,35,53,90035,4,2.3,3,174,0,0,0,1,0,34.051809,-118.383674
163,38,12,52,90036,1,2,1,0,0,0,0,0,0,34.070410,-118.350411
1503,65,39,113,90036,1,2,1,0,0,0,0,1,1,34.070410,-118.350411
1808,46,20,61,90036,2,0.4,3,0,0,0,0,0,0,34.070410,-118.350411
3093,43,18,113,90036,2,0.4,1,325,0,1,0,0,0,34.070410,-118.350411
3356,49,23,93,90036,1,2.4,1,0,0,0,0,1,1,34.070410,-118.350411
4080,65,40,75,90036,3,2.2,1,0,0,0,0,1,0,34.070410,-118.350411
4083,32,6,83,90036,4,2.2,2,0,0,0,0,0,0,34.070410,-118.350411
651,47,22,122,90037,1,5.1,3,163,1,1,0,0,0,34.002719,-118.287487
1104,38,14,49,90037,1,1.8,1,0,0,0,0,0,0,34.002719,-118.287487
1576,50,26,88,90037,1,2.7,1,0,0,0,0,1,0,34.002719,-118.287487
1878,51,24,78,90037,1,2.67,2,0,0,0,0,1,0,34.002719,-118.287487
4993,30,5,13,90037,4,0.5,3,0,0,0,0,0,0,34.002719,-118.287487
1123,32,7,38,90041,1,1,1,0,0,0,0,1,0,34.137412,-118.207607
1185,34,9,71,90041,4,1.3,1,0,0,0,0,1,0,34.137412,-118.207607
1343,36,12,79,90041,2,2.2,1,0,0,0,0,1,0,34.137412,-118.207607
1837,44,19,74,90041,4,1.9,3,0,0,0,0,0,0,34.137412,-118.207607
2154,40,14,123,90041,1,5.2,1,0,0,0,0,1,0,34.137412,-118.207607
3018,57,32,68,90041,2,3.7,1,184,0,0,0,0,0,34.137412,-118.207607
4173,67,42,75,90041,4,0.1,2,182,0,0,0,1,0,34.137412,-118.207607
4189,30,4,45,90041,4,1.3,3,0,0,0,0,0,0,34.137412,-118.207607
4251,52,28,54,90041,4,0.1,3,0,0,0,0,0,1,34.137412,-118.207607
4441,43,19,75,90041,3,0.3,3,0,0,0,0,0,0,34.137412,-118.207607
1312,37,11,35,90044,2,0.8,3,125,0,0,0,0,0,33.952725,-118.291904
2892,59,33,63,90044,1,1.6,1,0,0,0,0,1,1,33.952725,-118.291904
70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0,33.942108,-118.417488
1624,63,38,153,90045,1,1.3,1,455,0,0,0,0,0,33.942108,-118.417488
4759,46,21,40,90045,1,0.3,1,116,0,0,0,0,0,33.942108,-118.417488
904,43,18,59,90048,1,2.4,1,250,0,0,0,1,0,34.072924,-118.372710
1910,56,30,101,90048,3,1.7,2,0,0,0,0,0,1,34.072924,-118.372710
2508,59,34,60,90048,4,2.1,1,234,0,0,0,1,1,34.072924,-118.372710
3634,51,25,93,90048,1,0.3,1,0,0,0,0,1,0,34.072924,-118.372710
581,52,22,22,90049,4,0.4,3,0,0,0,0,1,1,34.092540,-118.491064
1177,29,3,103,90049,4,3.4,1,0,1,0,0,1,0,34.092540,-118.491064
1590,57,32,124,90049,1,0.2,2,0,1,0,0,1,0,34.092540,-118.491064
1728,52,26,54,90049,2,1.5,2,0,0,0,0,0,1,34.092540,-118.491064
2044,57,32,25,90049,2,0.2,3,0,0,0,0,1,1,34.092540,-118.491064
2604,53,27,60,90049,1,0.2,1,0,0,0,0,1,0,34.092540,-118.491064
4049,27,2,48,90049,2,1.6,3,119,0,1,0,1,0,34.092540,-118.491064
4730,40,14,18,90049,4,1.5,3,0,0,0,0,0,0,34.092540,-118.491064
4942,28,4,112,90049,2,1.6,2,0,1,0,0,1,0,34.092540,-118.491064
121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0,34.061735,-118.276757
300,41,15,159,90057,1,5.5,3,0,1,0,1,1,0,34.061735,-118.276757
4390,58,32,40,90057,1,1.6,1,0,0,1,1,1,1,34.061735,-118.276757
277,30,5,22,90058,4,0.5,3,109,0,0,0,1,0,34.002844,-118.216400
1414,48,24,12,90058,3,0.4,1,0,0,0,0,0,0,34.002844,-118.216400
1432,58,34,128,90058,1,7.4,1,0,0,0,0,0,0,34.002844,-118.216400
1954,49,25,22,90058,4,0.2,1,83,0,0,0,1,0,34.002844,-118.216400
4165,35,10,23,90058,4,1.1,3,0,0,0,0,0,1,34.002844,-118.216400
4398,48,23,19,90058,1,0.1,1,0,0,0,0,1,0,34.002844,-118.216400
2070,30,4,35,90059,4,0.8,1,0,0,0,0,1,1,33.926262,-118.249883
2466,58,34,25,90059,2,0.3,1,123,0,0,0,1,0,33.926262,-118.249883
4170,41,17,143,90059,2,2.7,3,209,1,0,0,1,0,33.926262,-118.249883
4217,60,35,173,90059,3,3.1,3,0,1,0,0,1,0,33.926262,-118.249883
28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1,34.037251,-118.423573
330,28,4,191,90064,1,6.33,1,0,0,0,0,1,0,34.037251,-118.423573
733,26,1,85,90064,1,1.9,1,0,0,0,0,1,0,34.037251,-118.423573
982,36,12,142,90064,3,2.3,2,0,1,0,1,1,1,34.037251,-118.423573
2666,35,9,105,90064,2,4.5,3,0,0,0,0,0,0,34.037251,-118.423573
3059,30,4,113,90064,2,0.2,1,0,0,0,0,1,0,34.037251,-118.423573
3681,36,11,32,90064,3,1.3,1,0,0,0,0,0,0,34.037251,-118.423573
3714,46,20,74,90064,3,0.7,2,0,0,0,0,1,1,34.037251,-118.423573
3974,61,35,53,90064,1,2.8,2,167,0,0,0,1,0,34.037251,-118.423573
4125,53,29,141,90064,2,0.2,3,0,1,0,0,0,0,34.037251,-118.423573
4446,49,25,135,90064,2,1.4,1,82,0,0,0,1,1,34.037251,-118.423573
4460,32,8,115,90064,1,4,1,0,0,0,0,0,0,34.037251,-118.423573
4808,40,14,53,90064,1,2,1,0,0,0,0,1,1,34.037251,-118.423573
4815,60,34,41,90064,3,2.2,3,0,0,0,0,0,1,34.037251,-118.423573
1698,64,38,32,90065,3,0.7,2,0,0,0,0,1,1,34.112272,-118.225496
1746,37,12,40,90065,2,1.1,2,0,0,1,0,0,1,34.112272,-118.225496
1987,42,17,114,90065,2,0.4,1,0,0,0,0,0,0,34.112272,-118.225496
2790,27,3,34,90065,1,0.2,3,0,0,0,0,1,1,34.112272,-118.225496
3836,33,9,131,90065,3,2.2,3,0,1,1,0,0,0,34.112272,-118.225496
4117,24,-2,135,90065,2,7.2,1,0,0,0,0,1,0,34.112272,-118.225496
4300,30,5,73,90065,1,2.6,2,133,0,0,0,1,0,34.112272,-118.225496
4963,46,20,122,90065,3,3,3,0,1,0,1,1,1,34.112272,-118.225496
732,28,3,90,90066,2,3.3,1,0,0,0,0,1,1,34.002028,-118.430656
1357,42,16,74,90066,1,2.8,1,0,0,0,0,1,0,34.002028,-118.430656
1669,63,37,20,90066,1,0.8,2,0,0,1,0,0,1,34.002028,-118.430656
1876,27,3,112,90066,3,2.5,1,389,0,1,0,1,0,34.002028,-118.430656
3484,60,36,195,90066,1,4.7,1,0,0,0,0,1,0,34.002028,-118.430656
4220,58,34,30,90066,3,0.4,2,0,0,0,0,0,0,34.002028,-118.430656
4081,27,0,40,90068,1,2,2,110,0,0,0,0,1,34.129772,-118.330989
629,49,24,51,90071,1,1.3,2,0,0,0,0,0,0,34.052876,-118.254943
753,64,39,22,90071,4,0.6,2,0,0,0,0,0,0,34.052876,-118.254943
1021,54,29,29,90071,1,1.5,2,97,0,0,0,1,0,34.052876,-118.254943
1112,54,28,183,90071,1,1,1,442,0,0,0,0,0,34.052876,-118.254943
1165,41,17,94,90071,3,3.8,2,327,1,1,1,1,0,34.052876,-118.254943
4467,34,10,60,90071,3,2.8,1,0,0,0,1,1,1,34.052876,-118.254943
418,53,29,83,90073,4,1,2,0,0,0,0,1,0,34.054534,-118.457025
1933,64,39,73,90073,3,2.4,1,185,0,0,0,0,0,34.054534,-118.457025
3315,38,13,41,90073,4,1.7,1,0,0,0,0,1,0,34.054534,-118.457025
3531,54,28,49,90073,4,2.8,2,0,0,1,0,0,0,34.054534,-118.457025
4533,48,22,133,90073,2,3.1,2,0,1,0,0,1,0,34.054534,-118.457025
4890,58,28,58,90073,3,2,3,0,0,0,0,1,0,34.054534,-118.457025
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,34.020221,-118.286035
9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,34.020221,-118.286035
63,42,18,22,90089,1,1,1,0,0,0,0,0,0,34.020221,-118.286035
241,51,26,70,90089,1,1.2,1,169,0,0,0,0,0,34.020221,-118.286035
250,26,1,55,90089,3,2.6,3,113,0,0,0,0,1,34.020221,-118.286035
292,43,16,8,90089,3,0.67,2,88,0,0,0,1,0,34.020221,-118.286035
325,56,30,158,90089,4,6.1,1,0,1,0,0,0,0,34.020221,-118.286035
366,57,32,174,90089,1,6.8,2,466,1,0,0,1,0,34.020221,-118.286035
419,27,0,33,90089,4,1,3,0,0,0,0,0,0,34.020221,-118.286035
529,64,39,122,90089,4,0.2,1,378,1,0,0,1,0,34.020221,-118.286035
701,37,11,84,90089,2,1.8,1,0,0,0,0,1,1,34.020221,-118.286035
813,36,10,65,90089,4,2.2,2,0,0,0,0,0,0,34.020221,-118.286035
1073,54,24,75,90089,2,4.5,3,0,0,0,0,0,0,34.020221,-118.286035
1227,60,36,14,90089,2,0.3,1,109,0,0,0,1,1,34.020221,-118.286035
1409,40,14,129,90089,1,5.9,3,0,1,0,0,1,0,34.020221,-118.286035
1495,59,35,60,90089,1,0,2,0,0,0,0,1,1,34.020221,-118.286035
1593,56,31,192,90089,1,7,3,0,1,0,1,1,0,34.020221,-118.286035
1701,43,16,71,90089,3,2.33,2,0,0,0,0,0,0,34.020221,-118.286035
1838,43,18,103,90089,3,1,1,180,0,0,0,1,1,34.020221,-118.286035
1847,56,32,15,90089,1,0.1,2,0,0,0,0,1,0,34.020221,-118.286035
2019,63,39,160,90089,2,2.1,1,0,0,0,0,1,1,34.020221,-118.286035
2099,59,35,94,90089,1,3.8,1,272,0,0,0,0,0,34.020221,-118.286035
2653,24,0,44,90089,4,1.6,1,180,0,0,0,1,0,34.020221,-118.286035
2694,55,29,62,90089,1,0.2,1,0,0,0,0,1,0,34.020221,-118.286035
2708,35,9,131,90089,3,0.3,3,0,1,0,1,1,1,34.020221,-118.286035
2716,42,18,54,90089,1,1.8,1,0,0,0,0,1,0,34.020221,-118.286035
2867,46,22,141,90089,2,3.3,1,0,0,1,1,1,1,34.020221,-118.286035
2883,55,31,69,90089,1,2.7,2,0,0,1,0,0,1,34.020221,-118.286035
3319,46,20,105,90089,4,3.2,1,0,1,0,0,0,0,34.020221,-118.286035
3376,43,18,88,90089,4,1.1,2,0,0,0,0,1,0,34.020221,-118.286035
3386,42,17,73,90089,4,0.4,1,0,0,1,0,0,0,34.020221,-118.286035
3395,25,-1,113,90089,4,2.1,3,0,0,0,0,1,0,34.020221,-118.286035
3627,24,-3,28,90089,4,1,3,0,0,0,0,0,0,34.020221,-118.286035
3632,46,21,51,90089,4,1.9,3,0,0,0,0,0,0,34.020221,-118.286035
3809,34,10,152,90089,2,6.5,1,0,0,0,0,0,0,34.020221,-118.286035
3827,43,19,132,90089,1,5,1,0,0,0,0,0,0,34.020221,-118.286035
3832,37,12,132,90089,2,3.9,1,0,0,0,0,0,0,34.020221,-118.286035
4024,51,25,175,90089,3,0.7,1,312,1,0,0,0,0,34.020221,-118.286035
4123,56,30,195,90089,1,2.9,1,0,0,0,0,0,0,34.020221,-118.286035
4350,45,18,44,90089,3,1,2,193,0,0,0,0,0,34.020221,-118.286035
4367,52,28,43,90089,4,1.1,2,0,0,0,0,0,0,34.020221,-118.286035
4585,26,0,49,90089,3,2.4,2,0,0,0,0,0,0,34.020221,-118.286035
4658,41,16,9,90089,2,0.3,2,0,0,0,0,0,1,34.020221,-118.286035
4710,26,1,35,90089,2,1.7,2,119,0,0,0,0,1,34.020221,-118.286035
4829,52,28,62,90089,1,1.8,3,0,0,0,0,1,0,34.020221,-118.286035
4951,47,23,19,90089,1,1,1,0,0,0,0,0,1,34.020221,-118.286035
22,57,27,63,90095,3,2,3,0,0,0,0,1,0,34.071200,-118.443523
174,58,34,42,90095,4,1.5,1,0,0,0,0,1,1,34.071200,-118.443523
244,65,39,170,90095,3,7.9,3,99,1,0,1,1,0,34.071200,-118.443523
274,41,16,65,90095,3,0.5,3,0,0,0,0,1,0,34.071200,-118.443523
294,45,19,93,90095,4,2.6,3,0,0,0,0,0,0,34.071200,-118.443523
394,53,28,18,90095,4,0.1,3,109,0,1,1,1,1,34.071200,-118.443523
484,29,5,30,90095,3,1,2,0,0,0,0,0,0,34.071200,-118.443523
613,65,40,129,90095,1,1.3,1,0,0,0,0,1,1,34.071200,-118.443523
864,54,30,70,90095,1,1.6,3,265,0,0,0,0,0,34.071200,-118.443523
873,32,7,44,90095,4,0.8,1,0,0,0,0,1,0,34.071200,-118.443523
1035,49,23,84,90095,3,2.1,1,134,0,1,0,1,0,34.071200,-118.443523
1051,53,27,145,90095,2,6.1,3,294,1,0,1,1,1,34.071200,-118.443523
1078,29,3,175,90095,3,3.3,3,329,1,0,0,1,0,34.071200,-118.443523
1102,42,17,95,90095,3,0.5,3,0,0,0,0,0,0,34.071200,-118.443523
1182,25,0,65,90095,4,0.2,1,0,0,1,0,0,0,34.071200,-118.443523
1330,28,4,32,90095,3,1,2,0,0,0,0,0,0,34.071200,-118.443523
1393,47,23,33,90095,1,1,1,0,0,0,0,1,1,34.071200,-118.443523
1395,52,27,33,90095,2,0.7,2,0,0,0,0,0,1,34.071200,-118.443523
1446,47,21,141,90095,1,2.4,1,0,0,0,0,0,0,34.071200,-118.443523
1457,36,11,39,90095,4,1.7,1,0,0,0,0,1,0,34.071200,-118.443523
1904,56,26,50,90095,3,1.4,3,0,0,0,0,0,0,34.071200,-118.443523
1927,30,6,41,90095,1,2.4,2,0,0,0,0,1,0,34.071200,-118.443523
1945,52,28,39,90095,3,1.9,2,83,0,0,1,1,1,34.071200,-118.443523
1966,45,20,94,90095,3,0.5,3,0,0,0,0,1,0,34.071200,-118.443523
1975,39,13,63,90095,4,0.2,3,242,0,0,0,0,0,34.071200,-118.443523
2100,53,29,10,90095,2,0.4,1,0,0,0,0,0,0,34.071200,-118.443523
2185,62,36,183,90095,2,3.4,3,0,1,0,0,0,0,34.071200,-118.443523
2201,50,25,29,90095,2,1.3,1,0,0,0,0,0,0,34.071200,-118.443523
2328,51,25,70,90095,1,0.8,3,0,0,1,0,1,0,34.071200,-118.443523
2340,56,31,72,90095,3,2,2,0,0,0,0,0,0,34.071200,-118.443523
2364,39,13,61,90095,2,2.4,2,90,0,0,0,1,0,34.071200,-118.443523
